	Province/State	Country/Region	Lat	Long	3/10/20	3/11/20	3/12/20	3/13/20	3/14/20	3/15/20	3/16/20	3/17/20	3/18/20	3/19/20	3/20/20	3/21/20	3/22/20	3/23/20	3/24/20	3/25/20	3/26/20	3/27/20	3/28/20	3/29/20	3/30/20	3/31/20	4/01/20	4/02/20	4/03/20	4/04/20	4/05/20	4/06/20	4/07/20	4/08/20	4/09/20	4/10/20	4/11/20	4/12/20	4/13/20	4/14/20	4/15/20	4/16/20	4/17/20	4/18/20	4/19/20	4/20/20	4/21/20	4/22/20	4/23/20
18	Minnesota	US	44.71710183	-95.86842453	3	5	9	14	21	35	54	60	77	89	115	137	166	233	260	285	342	392	436	494	566	617	672	724	766	841	906	956	1035	1115	1190	1279	1363	1551	1551	1616	1722	1722	1959	2088	2222	2327	2407	2543	2742
19	US	US			0	0	0	0	0	0	0	0	-105	-107	-146	-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Wyoming	US	43.90451606	-107.68018700000002	0	0	1	1	2	3	3	11	15	18	19	23	26	26	29	44	53	70	82	86	94	109	130	150	162	187	197	210	216	221	230	239	261	270	274	281	286	294	303	307	311	315	441	441	446
21	New Hampshire	US			4	5	6	6	7	13	17	26	26	44	44	55	74	100	100	107	136	157	185	212	311	354	364	313	474	533	612	706	706	734	798	798	863	906	962	897	1107	1107	1250	1304	1352	1405	1448	1540	1619
22	South Carolina	US	34.97281497	-81.18085944	7	10	12	13	19	28	32	46	46	80	125	168	193	293	337	417	415	529	645	758	907	1061	1267	1523	1666	1877	2005	2184	2366	2366	2726	2995	3131	3238	3309	3456	3550	3820	3983	4129	4257	4323	4315	4621	4767
23	Illinois	US	40.78579374	-89.20973757	10	23	30	44	62	91	103	158	161	418	580	747	1040	1273	1521	1846	2512	2990	3444	4530	4983	5895	6839	7532	8694	10113	10985	11955	11963	14616	14617	17290	18503	20132	21227	22380	23644	24662	26446	27901	29067	30164	31591	33542	35249
24	New York	US	42.63505484	-77.10369919	173	220	328	421	523	729	957	1693	2479	5331	8268	11650	15683	20726	25471	30556	37492	44349	51682	58683	65445	74283	82007	90133	100052	110268	119001	127117	134386	144793	154712	164481	172399	179648	185691	192178	202837	208859	213466	224041	229517	234449	239257	243879	242487
25	Grand Princess	US			21	21	21	21	21	21	20	21	21	22	23	23	29	27	27	27	27	25	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	103	103	103	103	103	103	103	103	103	103	103	100
26	Delaware	US			0	1	1	4	6	7	8	16	19	30	38	45	56	68	104	119	129	161	209	226	258	309	357	381	436	579	659	768	912	1097	1186	1294	1446	1590	1717	1883	1968	2015	2256	2471	2471	2673	2849	3111	3216
27	Massachusetts	US	42.35026951	-71.90493363	91	94	107	122	137	163	196	217	218	328	412	524	641	768	1148	1823	2392	3205	4213	4907	5696	6531	7616	8812	10210	11520	12269	13577	14846	16357	18438	20375	22174	24719	26023	27320	28810	31073	33157	34968	36371	36371	39238	40762	43663
