	Unnamed: 0	pred_y	pred_dates,	forecasted_y	forecast_dates	model	focal_loc	r2	params	reference_date
0	0	"[  74.55805803   88.40206754  104.5265919   123.25344994  144.93880469
  169.97438551  198.78813584  231.84411982  269.64150649  312.71244073
  361.61860777  416.94630715  479.29987312  549.29331676  627.54012063
  714.64119228  811.17107794  917.66265014 1034.59060849 1162.3542651
 1301.26021459 1451.50560223 1613.1627889  1786.16625473 1970.30257284
 2165.20421173 2370.34778715 2585.05718473 2808.51172502 3039.75925987
 3277.73379856 3521.27698701 3769.16253282 4020.12250127 4272.87432012
 4526.14732824 4778.7077834  5029.38139434 5277.07264515 5520.78041287
 5759.60962069]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20']	"[   74.57909467    88.42701028   104.55608418   123.28822603
   144.97969932   170.02234395   198.84422412   231.90953488
   269.71758612   312.80067286   361.72063883   417.06394898
   479.43510807   549.44830044   627.71718172   714.84282903
   811.3999507    917.9215696   1034.88251929  1162.68222455
  1301.6273665   1451.91514603  1613.61794444  1786.67022337
  1970.85849574  2165.81512632  2371.01658321  2585.78656128
  2809.30414948  3040.61693107  3278.65861452  3522.27051893
  3770.2260059   4021.25678297  4274.079916    4527.42438536
  4780.05610071  5030.80043947  5278.56157662  5522.33810673
  5761.23470047  5994.46976669  6221.37929203  6441.41719046
  6654.15261137  6859.26472471  7056.53553025  7245.84123043
  7427.14267121  7600.47530087  7765.9390304   7923.68830817
  8073.92265115  8216.87780867  8352.81767631  8482.02702651
  8604.8050819   8721.45992395  8832.30370583  8937.64862053
  9037.80356428  9133.07142888  9223.74695413  9310.11507198
  9392.44967677  9471.0127598   9546.0538517   9617.80972112
  9686.50428437  9752.34868554  9815.54151246  9876.26911819
  9934.70602274  9991.01537322 10045.34944472 10097.85016684
 10148.64966396 10197.87079942 10245.62771589 10292.02636587
 10337.16502776 10381.13480401 10424.02009894 10465.89907456
 10506.8440835  10546.92207841 10586.1949979  10624.72012931
 10662.55044871 10699.73493893 10736.31888647 10772.34415811
 10807.84945831 10842.87056838 10877.4405685  10911.5900435
 10945.34727356 10978.73841067 11011.78764189 11044.51734026
 11076.94820429]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/12', '06/13', '06/14', '06/15', '06/16', '06/17', '06/18', '06/19',
       '06/20', '06/21'],
      dtype='object', length=101)"	SEIR-SD	Alabama	0.9955945053072672	[0.2330539800694778, 0.17600406808757194, 0.09009259918066338, 29.0, 93.34577461629476, 0.4230043663500772, 4.701864894008762e-06]	4/22/20
1	1	"[  81.97433793   96.59432741  113.53188753  133.10254708  155.65439244
  181.56914296  211.26267979  245.18487302  283.81853862  327.67734879
  377.3025198   433.25811162  496.12479767  566.49200246  644.94836167
  732.07053433  828.41048894  934.48149183 1050.74314157 1177.58590999
 1315.31575852 1464.13948606 1624.15152085 1795.32288144 1977.49299357
 2170.36495685 2373.50470875 2586.34434171 2808.18960644 3038.23139785
 3275.56079191 3519.18700117 3768.05746306 4021.07917994 4277.14040003
 4535.13176222 4793.96611844 5052.5963814  5310.03090812 5565.34610423
 5817.69610519 6066.31954615]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20']	"[   81.99702659    96.62106256   113.56331062   133.13938688
   155.6974741    181.61939724   211.32115257   245.25273471
   283.89709324   327.76804255   377.4069487    433.37802777
   496.26211392   566.64879478   645.12686895   732.27315508
   828.63977444   934.74013541  1051.03396376  1177.91183943
  1315.67980851  1464.54472712  1624.60104966  1795.81978666
  1978.0403194   2170.96566533  2374.16164176  2587.06018397
  2808.96685051  3039.07231234  3276.46739388  3520.16103342
  3769.10037708  4022.19212472  4278.32421683  4536.38698526
  4795.29298104  5053.99482707  5311.50060591  5566.88646755
  5819.30631334  6067.99856771  6312.29018053  6551.59810391
  6785.42855734  7013.37443515  7235.11122398  7450.39179012
  7659.04037256  7860.9460824   8056.05616779  8244.36925945
  8425.92876867  8600.81656866  8769.1470539   8931.06164018
  9086.72374193  9236.31424157  9380.0274491   9518.0675374
  9650.64542974  9777.9761098   9900.27632084 10017.76261921
 10130.64974658 10239.14928647 10343.46857209 10443.80981434
 10540.36942152 10633.33748437 10722.897403   10809.22563437
 10892.49154155 10972.85732828 11050.47804404 11125.50164723
 11198.06911522 11268.31459203 11336.36556539 11402.34306632
 11466.36188538 11528.53080064 11588.95281323 11647.72538709
 11704.94068997 11760.68583348 11815.04311029 11868.09022686
 11919.90053074 11970.54323132 12020.08361353 12068.58324385
 12116.10016844 12162.68910309 12208.40161504 12253.28629647
 12297.38892997 12340.75264596 12383.4180723  12425.42347634
 12466.80489952 12507.59628502]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/13', '06/14', '06/15', '06/16', '06/17', '06/18', '06/19', '06/20',
       '06/21', '06/22'],
      dtype='object', length=102)"	SEIR-SD	Alabama	0.9948519595802868	[0.1674525135851579, 0.18878695214844712, 0.11073559594360831, 31.0, 77.64659426443944, 0.5550989303965641, 4.612332915374709e-06]	4/23/20
2	2	"[  80.4410374    95.14166105  112.27511186  132.18461891  155.24764318
  181.8759278   212.51464775  247.64048866  287.75849671  333.39756744
  385.10448131  443.43644866  508.95219498  582.20169622  663.71475846
  753.98872119  853.47564112  962.56937706 1081.59303933 1210.78728452
 1350.29992485 1500.17728233 1660.35765194 1830.66715264 2010.81814521
 2200.41029044 2398.93421676 2605.77767007 2820.2339345  3041.51224454
 3268.74985738 3501.02541949 3737.37324205 3976.79809439 4218.29013102
 4460.83958509 4703.45088704 4945.15590123 5185.026014   5422.1828529
 5655.80746724 5885.14785343 6109.52476244]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20']	"[   80.44356856    95.14465478   112.27864472   132.18877824
   155.25252821   181.88165072   212.52133475   247.64828093
   287.76755133   333.40805815   385.11659903   443.45040185
   508.9682097    582.22001582   663.73564295   754.01244625
   853.50249664   962.59966532  1081.62707281  1210.82538322
  1350.34241347  1500.224487    1660.40989686  1830.72475653
  2010.88141774  2200.47952869  2399.00970177  2605.85966363
  2820.32267615  3041.60794895  3268.85271207  3501.13558297
  3737.49084247  3976.92322857  4218.422864    4460.97995015
  4703.59888612  4945.31150581  5185.18916635  5422.35346764
  5655.98543322  5885.33303585  6109.71700512  6328.53490769
  6541.26354038  6747.45972164  6946.7596053   7138.87667168
  7323.59857344  7500.78302769  7670.35295149  7832.29103579
  7986.63394465  8133.46631208  8272.91469163  8405.14159258
  8530.33971523  8648.72647512  8760.53888483  8866.02884162
  8965.45885135  9059.09820289  9147.21959418  9230.09619986
  9307.99916192  9381.19547834  9449.94626043  9514.50532642
  9575.11809799  9632.02076594  9685.43969196  9735.59101524
  9782.68043394  9826.90313464  9868.44384438  9907.47698343
  9944.16689842  9978.66815875 10011.12590095 10041.67620788
 10070.44651194 10097.55601281 10123.11610194 10147.23078779
 10169.99711631 10191.505583   10211.84053316 10231.0805482
 10249.29881611 10266.5634852  10282.93800012 10298.48142014
 10313.24871935 10327.29106932 10340.65610425 10353.38816946
 10365.52855358 10377.11570534 10388.18543559 10398.77110533
 10408.90380059 10418.61249487 10427.92419999]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/14', '06/15', '06/16', '06/17', '06/18', '06/19', '06/20', '06/21',
       '06/22', '06/23'],
      dtype='object', length=103)"	SEIR-SD	Alabama	0.9960291512939664	[0.21522692848283942, 0.2153268523435243, 0.07638929417910395, 40.0, 96.40000244523071, 0.3163470366543438, 5.244262489968854e-07]	4/24/20
3	3	"[  76.39910677   90.40302008  106.73587255  125.73098516  147.75653512
  173.21610994  202.54843841  236.2261117   274.75310954  318.66096185
  368.50340513  424.84944004  488.27475947  559.35159653  638.63713382
  726.66071595  823.91020757  930.81793212 1047.74670199 1174.97650034
 1312.69239165 1460.97421755 1619.78857607 1788.983489   1968.28604084
 2157.30313291 2355.5253489  2562.33378576 2777.00957541 2998.7457177
 3226.66076789 3459.81387521 3697.22065189 3937.86936172 4180.73694919
 4424.8044792  4669.07161818 4912.56985499 5154.37423036 5393.61341274
 5629.47802466 5861.22718396 6088.19327871 6309.78504063]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20', '4/25/20']	"[   76.40309884    90.40774388   106.74144979   125.73755495
   147.76425581   173.22516095   202.55902213   236.23845516
   274.76746615   318.67761276   368.52266045   424.8716396
   488.30027318   559.38082419   638.67050437   726.69868598
   823.95325915   930.86656992  1047.80144964  1175.0378961
  1312.76098344  1461.05055748  1619.87321449  1789.07696831
  1968.38888921  2157.41585795  2355.64843159  2562.46767476
  2777.15468181  2998.90241042  3226.82936981  3459.99466002
  3697.41384186  3938.07512625  4180.95540422  4425.03568743
  4669.31559004  4912.8265503   5154.64356062  5393.89524391
  5629.7721804   5861.53344923  6088.51140359  6310.11474429
  6525.82999576  6735.22151866  6937.93021661  7133.67110905
  7322.22995106  7503.45908193  7677.27268087  7843.64159914
  8002.58792582  8154.17942873  8298.52399528  8435.76417954
  8566.07194372  8689.64366402  8806.69545401  8917.45884308
  9022.17683329  9121.10034598  9214.48505909  9302.58862744
  9385.66827188  9463.9787176   9537.7704585   9607.28832207
  9672.77030777  9734.44667158  9792.53922961  9847.26085461
  9898.81514028  9947.39621017  9993.1886495  10036.36754012
 10077.09858086 10115.53827731 10151.83418703 10186.12520766
 10218.54189738 10249.20681843 10278.23489587 10305.73378485
 10331.80424115 10356.5404901  10380.03059055 10402.35679072
 10423.59587382 10443.8194916  10463.09448468 10481.48318872
 10499.04372591 10515.83028163 10531.89336609 10547.28006126
 10562.0342532  10576.19685034 10589.80598816 10602.8972207
 10615.50369965 10627.65634147 10639.38398328 10650.71352807]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/15', '06/16', '06/17', '06/18', '06/19', '06/20', '06/21', '06/22',
       '06/23', '06/24'],
      dtype='object', length=104)"	SEIR-SD	Alabama	0.9957603348218774	[0.17829427041069484, 0.21325680429401508, 0.07425064445298343, 38.0, 96.30629770072308, 0.49434544817499915, 8.708568923965194e-07]	4/25/20
4	4	"[  73.7157139    87.11948418  102.72751129  120.85302181  141.84252253
  166.07668505  193.97055457  225.97291072  262.5646033   304.25569087
  351.58122729  405.09557319  465.36515765  532.95967993  608.4418216
  692.35563131  785.21384432  887.48449718  999.57728837 1121.83020633
 1254.49699056 1397.73599956 1551.60102929 1716.03455465 1890.86376015
 2075.79958984 2270.43889417 2474.26959369 2686.67863102 2906.96235423
 3134.33887692 3367.9618969  3606.93542919 3850.32891736 4097.19222461
 4346.57006617 4597.51551943 4849.10232969 5100.43581177 5350.66222515
 5598.97656897 5844.62880173 6086.92853739 6325.24830522 6559.02548643]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20', '4/25/20', '4/26/20']	"[   73.72099449    87.12572494   102.73487012   120.86167905
   141.85268335   166.08858186   193.98444955   225.98909817
   262.58341198   304.27748607   351.60641262   405.124592
   465.39849383   532.99785821   608.485407     692.40522784
   785.27009269   887.54807166   999.64889255  1121.91056803
  1254.58685577  1397.83612563  1551.71217739  1716.15748187
  1890.99921117  2075.94828863  2270.60153584  2474.44683667
  2686.8710898   2907.17059292  3134.56340361  3368.20315904
  3607.19381007  3850.60473361  4097.48572478  4346.88143038
  4597.84485999  4849.44969253  5100.80117875  5351.04551697
  5599.37764865  5845.04747858  6087.36457125  6325.70141098
  6559.4953387   6788.24929499  7011.53150824  7228.97426983
  7440.27193704  7645.17829944  7843.50343733  8035.11019148
  8219.91035363  8397.86067598  8568.95878716  8733.23909089
  8890.76871254  9041.64354874  9185.9844647   9323.93367515
  9455.65133587  9581.31236535  9701.10350896  9815.22065221
  9923.86638428 10027.2478087  10125.57459447 10219.05725807
 10307.90566435 10392.32773317 10472.52833703 10548.70837472
 10621.06400566 10689.78602955 10755.05939665 10817.06283418
 10875.96857534 10931.94217817 10985.14242231 11035.72127277
 11083.82390078 11129.58875245 11173.14765745 11214.6259701
 11254.14273671 11291.8108834  11327.73741949 11362.0236522
 11394.76540896 11426.05326427 11455.97276834 11484.60467542
 11512.02516997 11538.30608906 11563.51513992 11587.71611169
 11610.96908057 11633.33060784 11654.85393041 11675.58914372
 11695.58337664 11714.88095856 11733.52357863 11751.55043719
 11768.99838964]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/16', '06/17', '06/18', '06/19', '06/20', '06/21', '06/22', '06/23',
       '06/24', '06/25'],
      dtype='object', length=105)"	SEIR-SD	Alabama	0.9941385808060286	[0.19570484140311692, 0.23104258177519715, 0.107820698028153, 36.0, 86.7916106528517, 0.9541726977929563, 1.1938656761685252e-06]	4/26/20
5	5	"[  79.47222905   93.918781    110.71646587  130.19409249  152.7148165
  178.67704517  208.51465311  242.69632413  281.72382273  326.12899514
  376.46930742  433.32175029  497.27497967  568.91962113  648.83674625
  737.58462896  835.68400745  943.60220642 1061.73660667 1190.3980742
 1329.7950647  1480.01918918 1641.03304927 1812.66111633 1994.58433208
 2186.33895164 2387.31993937 2596.78898032 2813.88690477 3037.65006408
 3267.02996673 3500.91530456 3738.15538627 3977.5839555  4218.04240432
 4458.40149104 4697.5808213  4934.56553406 5168.41983283 5398.29719781
 5623.44729368 5843.21973861 6057.06501778 6264.53290584 6465.26880997
 6659.00846144]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20', '4/25/20', '4/26/20', '4/27/20']	"[   79.48633879    93.93545562   110.73612281   130.21720754
   152.74192995   178.70876803   208.55167344   242.73941317
   281.77384083   326.18689707   376.53614692   433.39868354
   497.36326737   569.02062884   648.95194269   737.71558196
   835.83237732   943.76973641  1061.92511059  1190.60942108
  1330.03116054  1480.28195626  1641.32440324  1812.98294166
  1994.93845661  2186.72712087  2387.74379137  2597.25002209
  2814.38649076  3038.18937766  3267.61000511  3501.53686765
  3738.81906968  3978.29014779  4218.79128832  4459.19304912
  4698.414844    4935.44163175  5169.33744972  5399.25562782
  5624.44569751  5844.25716151  6058.14040742  6265.64512996
  6466.41667334  6660.19072194  6846.78675813  7026.10067845
  7198.09691747  7362.80038034  7520.28843242  7670.68314333
  7814.14393403  7950.86073231  8081.04770427  8204.93759789
  8322.77670915  8434.82046149  8541.32957452  8642.56678719
  8738.79409419  8830.27045002  8917.24989387  8999.98004861
  9078.70094866  9153.64415389  9225.03210988  9293.07771798
  9357.98408224  9419.94440394  9479.14199729  9535.75040388
  9589.93358564  9641.84617947  9691.6337987   9739.43336909
  9785.37348897  9829.57480464  9872.15039411  9913.20615311
  9952.84117877  9991.14814722 10028.21368206 10064.11871168
 10098.93881353 10132.7445445  10165.60175626 10197.57189549
 10228.71228863 10259.07641127 10288.71414233 10317.67200347
 10345.99338415 10373.7187528  10400.88585473 10427.52989734
 10453.68372334 10479.3779725  10504.64123261 10529.50018029
 10553.97971222 10578.10306739 10601.89194096 10625.36659017
 10648.54593302 10671.44763994]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/17', '06/18', '06/19', '06/20', '06/21', '06/22', '06/23', '06/24',
       '06/25', '06/26'],
      dtype='object', length=106)"	SEIR-SD	Alabama	0.9969030924111651	[0.21678587446733016, 0.18153261164398607, 0.08707538827314368, 32.0, 89.28103992160582, 0.48560532680086244, 2.958792125822867e-06]	4/27/20
6	6	"[  73.80993113   87.51733504  103.53359068  122.19591044  143.87857057
  168.99400578  197.99312014  231.36459846  269.63299121  313.35534681
  363.11618     419.52059946  483.18547355  554.72859174  634.75588148
  723.84686207  822.53865327  931.30899805 1050.55889398 1180.59554275
 1321.61640837 1473.69520839 1636.77063944 1810.63855393 1994.94816041
 2189.20262403 2392.76421099 2604.86387022 2824.61489952 3051.03012255
 3283.04182594 3519.52358584 3759.31305661 4001.23480142 4244.12230869
 4486.83844924 4728.29377259 4967.46220241 5203.39385697 5435.22487852
 5662.18429615 5883.5980647  6098.89051357 6307.58350406 6509.29363273
 6703.72783545 6890.67774413]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20', '4/25/20', '4/26/20', '4/27/20', '4/28/20']	"[   73.81564739    87.52411287   103.5416089    122.20537398
   143.88971333   169.00709362   198.00845384   231.38251663
   269.65387309   313.3796148    363.14430174   419.55308948
   483.22289413   554.77155302   634.80504053   723.90292082
   822.60235526   931.38112383  1050.64025514  1180.68697467
  1321.71876174  1473.80933959  1636.89740011  1810.77877991
  1995.10266036  2189.37216813  2392.94952004  2605.06560545
  2824.8336535   3051.2664114   3283.29608307  3519.79615744
  3759.60419885  4001.54467944  4244.45099727  4487.18593512
  4728.65995812  4967.84691048  5203.79683691  5435.64581275
  5662.62280739  5884.05372345  6099.36284578  6308.07199862
  6509.79774886  6704.24700965  6891.21139677  7070.5606731
  7242.23558908  7406.24039234  7562.63524122  7711.52871728
  7853.07059296  7987.4449744   8114.86390592  8235.56149405
  8349.78858373  8457.80799869  8559.89034161  8656.31033645
  8747.34368567  8833.26440863  8914.3426226   8990.84272612
  9063.02194292  9131.12918603  9195.40420241  9256.07696106
  9313.36724995  9367.48445006  9418.62745778  9466.98472986
  9512.73442823  9556.04464449  9597.0736868   9635.97041414
  9672.87460505  9707.91735018  9741.22145959  9772.90187714
  9803.06609613  9831.81457103  9859.24112153  9885.43332579
  9910.47290069  9934.4360673   9957.39390055  9979.41266223
 10000.55411706 10020.87583173 10040.43145695 10059.27099299
 10077.44103896 10094.98502654 10111.94343874 10128.3540143
 10144.25193851 10159.67002115 10174.6388622  10189.18700614
 10203.34108551 10217.12595429 10230.56481196 10243.67931862
 10256.48970206 10269.014857   10281.27243737]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/18', '06/19', '06/20', '06/21', '06/22', '06/23', '06/24', '06/25',
       '06/26', '06/27'],
      dtype='object', length=107)"	SEIR-SD	Alabama	0.9971744963107974	[0.23387638951847053, 0.1994502868151506, 0.08097357000864172, 35.0, 93.4586590239117, 0.363063550515795, 1.2907107881308202e-06]	4/28/20
7	7	"[ 105.29963162  123.38708162  144.23138673  168.17459538  195.58401942
  226.85043695  262.38541799  302.61771666  347.98870883  398.94689667
  455.9415497   519.41560232  589.79797635  667.49553994  752.88494655
  846.30461593  948.04712169 1058.35223494 1177.40084329 1305.30992087
 1442.12867327 1587.83592548 1742.33876717 1905.47242173 2077.00126741
 2256.6209117  2443.96120529 2638.59007699 2840.01807457 3047.70350569
 3261.05808421 3479.45299881 3702.22532937 3928.68474197 4158.12039462
 4389.80798256 4623.01684704 4857.01706308 5091.08641514 5324.51716239
 5556.62249249 5786.74256215 6014.25002726 6238.55497405 6459.10917522
 6675.40961146 6887.00121774 7093.47883417]"	['3/13/20', '3/14/20', '3/15/20', '3/16/20', '3/17/20', '3/18/20', '3/19/20', '3/20/20', '3/21/20', '3/22/20', '3/23/20', '3/24/20', '3/25/20', '3/26/20', '3/27/20', '3/28/20', '3/29/20', '3/30/20', '3/31/20', '4/01/20', '4/02/20', '4/03/20', '4/04/20', '4/05/20', '4/06/20', '4/07/20', '4/08/20', '4/09/20', '4/10/20', '4/11/20', '4/12/20', '4/13/20', '4/14/20', '4/15/20', '4/16/20', '4/17/20', '4/18/20', '4/19/20', '4/20/20', '4/21/20', '4/22/20', '4/23/20', '4/24/20', '4/25/20', '4/26/20', '4/27/20', '4/28/20', '4/29/20']	"[  105.30288556   123.3908945    144.23584373   168.17979227
   195.59006331   226.85744703   262.39352616   302.62706808
   347.99946229   398.95922483   455.9556391    519.43165318
   589.81620215   667.51616673   752.90821202   846.33076824
   948.07641802  1058.38493989  1177.43722705  1305.35025725
  1442.1732376   1587.88499242  1742.39260851  1905.5313042
  2077.06545042  2256.69064527  2444.03672801  2638.67161408
  2840.10583615  3047.79768511  3261.15885666  3479.56052005
  3702.33973467  3928.80614527  4158.24888788  4389.94363538
  4623.15970642  4857.16715349  5091.2437387   5324.68169938
  5556.79420194  5786.92138271  6014.43587821  6238.74775642
  6459.30877311  6675.6158934   6887.21403824  7093.6980352
  7294.71377477  7489.95859313  7679.18092124  7862.17925657
  8038.80052683  8208.93792494  8372.52830102  8529.54920002
  8680.01563336  8823.97666998  8961.51192695  9092.72803254
  9217.75512644  9336.74345257  9449.86009056  9557.28586263
  9659.21244349  9755.8396929   9847.37322253  9934.02220265
 10015.99740819 10093.50949927 10166.7675274  10235.97765571
 10301.3420796  10363.05813268 10421.31756196 10476.30595631
 10528.20231188 10577.17871899 10623.40015537 10667.02437172
 10708.2018564  10747.07586717 10783.782519   10818.45091806
 10851.20333296 10882.15539548 10911.41632395 10939.08916325
 10965.27103632 10990.05340284 11013.52232129 11035.75871142
 11056.83861445 11076.83344907 11095.81026142 11113.83196792
 11130.95758988 11147.24247917 11162.73853449 11177.49440794
 11191.55570171 11204.96515493 11217.76282071 11229.98623355
 11241.67056747 11252.84878494 11263.55177714 11273.80849581]"	"Index(['03/13', '03/14', '03/15', '03/16', '03/17', '03/18', '03/19', '03/20',
       '03/21', '03/22',
       ...
       '06/19', '06/20', '06/21', '06/22', '06/23', '06/24', '06/25', '06/26',
       '06/27', '06/28'],
      dtype='object', length=108)"	SEIR-SD	Alabama	0.9948567362796301	[0.17163398180664036, 0.22723282416419954, 0.08395238648151854, 43.0, 92.85851808822261, 0.13130181281480302, 5.15021616214598e-07]	4/29/20
