	Province/State	Admin2
512	Tennessee	Sevier
513	Tennessee	Anderson
514	Tennessee	Blount
515	Tennessee	Gibson
516	Tennessee	McMinn
517	Tennessee	Cocke
518	Tennessee	Roane
519	Tennessee	Chester
520	Tennessee	Franklin
521	Tennessee	Houston
522	Tennessee	Loudon
523	Tennessee	Marion
524	Tennessee	Perry
525	Wisconsin	Milwaukee
526	Wisconsin	Dane
527	Wisconsin	Waukesha
528	Wisconsin	Fond du Lac
529	Wisconsin	Washington
530	Wisconsin	Ozaukee
531	Wisconsin	Kenosha
532	Wisconsin	Sheboygan
533	Wisconsin	Winnebago
534	Wisconsin	La Crosse
535	Wisconsin	Columbia
536	Wisconsin	Racine
537	Wisconsin	Eau Claire
538	Wisconsin	Brown
539	Wisconsin	Walworth
540	Wisconsin	Rock
541	Wisconsin	Outagamie
542	Wisconsin	Sauk
543	Wisconsin	St. Croix
544	Wisconsin	Jefferson
545	Wisconsin	Pierce
546	Wisconsin	Wood
547	Wisconsin	Calumet
548	Wisconsin	Bayfield
549	Wisconsin	Dunn
550	Wisconsin	Chippewa
551	Wisconsin	Marathon
552	Wisconsin	Douglas
553	Wisconsin	Green
554	Ohio	Cuyahoga
555	Ohio	Franklin
556	Ohio	Summit
557	Ohio	Lorain
558	Ohio	Hamilton
559	Ohio	Mahoning
560	Ohio	Butler
561	Ohio	Miami
562	Ohio	Stark
563	Ohio	Medina
564	Ohio	Lucas
565	Ohio	Lake
566	Ohio	Delaware
567	Ohio	Montgomery
568	Ohio	Clermont
569	Ohio	Trumbull
570	Ohio	Warren
571	Ohio	Belmont
572	Ohio	Tuscarawas
573	Ohio	Geauga
574	Ohio	Coshocton
575	Ohio	Ashtabula
576	Ohio	Defiance
577	Ohio	Columbiana
578	Ohio	Darke
579	Ohio	Huron
580	Ohio	Ashland
581	Ohio	Clark
582	Ohio	Richland
583	Ohio	Marion
584	Ohio	Licking
585	Ohio	Union
586	Ohio	Erie
587	Ohio	Gallia
588	Ohio	Madison
589	Ohio	Carroll
590	Ohio	Clinton
591	Ohio	Greene
592	Ohio	Hancock
593	Ohio	Portage
594	Ohio	Wood
595	Ohio	Washington
596	Ohio	Knox
597	Connecticut	Fairfield
598	Connecticut	Hartford
599	Connecticut	New Haven
600	Connecticut	Tolland
601	Connecticut	Litchfield
602	Connecticut	Middlesex
603	Connecticut	New London
604	Connecticut	Windham
605	North Carolina	Mecklenburg
606	North Carolina	Wake
607	North Carolina	Durham
608	North Carolina	Forsyth
609	North Carolina	Union
610	North Carolina	Guilford
611	North Carolina	Harnett
612	North Carolina	Cabarrus
613	North Carolina	Brunswick
614	North Carolina	Iredell
615	North Carolina	Orange
616	North Carolina	Carteret
617	North Carolina	New Hanover
618	North Carolina	Buncombe
619	North Carolina	Cherokee
620	North Carolina	Franklin
621	North Carolina	Chatham
622	North Carolina	Johnston
623	North Carolina	Onslow
624	North Carolina	Wilson
625	North Carolina	Gaston
626	North Carolina	Pitt
627	North Carolina	Cumberland
628	North Carolina	Craven
629	North Carolina	Watauga
630	North Carolina	Moore
631	North Carolina	Rowan
632	North Carolina	Alamance
633	North Carolina	Wayne
634	North Carolina	Sampson
635	North Carolina	Lincoln
636	North Carolina	Hoke
637	North Carolina	Davidson
638	North Carolina	Pasquotank
639	North Carolina	Lee
640	North Carolina	Catawba
641	North Carolina	Chowan
642	North Carolina	Henderson
643	North Carolina	Robeson
644	North Carolina	Hyde
645	North Carolina	Granville
646	North Carolina	Davie
647	North Carolina	Montgomery
648	North Carolina	Nash
649	North Carolina	Scotland
650	Maryland	Montgomery
651	Maryland	Prince George's
652	Maryland	Baltimore
653	Maryland	Baltimore City
654	Maryland	Howard
655	Maryland	Anne Arundel
656	Maryland	Harford
657	Maryland	Charles
658	Maryland	Carroll
659	Maryland	Calvert
660	Maryland	Wicomico
661	Maryland	Worcester
662	Maryland	Talbot
663	Maryland	Frederick
664	Maryland	Caroline
665	Maryland	Queen Anne's
666	Maryland	Somerset
667	Maryland	Washington
668	Maryland	St. Mary's
669	Virginia	James City
670	Virginia	Fairfax
671	Virginia	Arlington
672	Virginia	Prince William
673	Virginia	Virginia Beach
674	Virginia	Loudoun
675	Virginia	Chesterfield
676	Virginia	Henrico
677	Virginia	Richmond
678	Virginia	Alexandria
679	Virginia	Stafford
680	Virginia	York
681	Virginia	Williamsburg
682	Virginia	Charlottesville
683	Virginia	Norfolk
684	Virginia	Spotsylvania
685	Virginia	Goochland
686	Virginia	Albemarle
687	Virginia	Gloucester
688	Virginia	Newport News
689	Virginia	Lee
690	Virginia	Rockingham
691	Virginia	Culpeper
692	Virginia	Hanover
693	Virginia	Prince Edward
694	Virginia	Harrisonburg
695	Virginia	Charles City
696	Virginia	Botetourt
697	Virginia	Suffolk
698	Virginia	Accomack
699	Virginia	Mecklenburg
700	Virginia	Rockbridge
701	Virginia	Isle of Wight
702	Virginia	Franklin
703	Virginia	Danville
704	Virginia	Bedford
705	Virginia	Amherst
706	Virginia	Fluvanna
707	Virginia	Louisa
708	Mississippi	Hinds
709	Mississippi	DeSoto
710	Mississippi	Harrison
711	Mississippi	Forrest
712	Mississippi	Pearl River
713	Mississippi	Madison
714	Mississippi	Leflore
715	Mississippi	Coahoma
716	Mississippi	Tippah
717	Mississippi	Rankin
718	Mississippi	Holmes
719	Mississippi	Lee
720	Mississippi	Jackson
721	Mississippi	Lafayette
722	Mississippi	Copiah
723	Mississippi	Hancock
724	Mississippi	Lincoln
725	Mississippi	Lowndes
726	Mississippi	Bolivar
727	Mississippi	Wilkinson
728	Mississippi	Franklin
729	Mississippi	Marshall
730	Mississippi	Pike
731	Mississippi	Itawamba
732	Mississippi	Washington
733	Mississippi	Monroe
734	Mississippi	Walthall
735	Mississippi	Winston
736	Mississippi	Lawrence
737	Mississippi	Grenada
738	Mississippi	Panola
739	Mississippi	Tunica
740	Mississippi	Oktibbeha
741	Mississippi	Sunflower
742	Mississippi	Perry
743	Mississippi	Jones
744	Mississippi	Smith
745	Mississippi	Yazoo
746	Mississippi	Humphreys
747	Mississippi	Webster
748	Mississippi	Adams
749	Mississippi	Clay
750	Mississippi	George
751	Mississippi	Attala
752	Mississippi	Leake
753	Mississippi	Simpson
754	Mississippi	Union
755	Mississippi	Chickasaw
756	Mississippi	Montgomery
757	Mississippi	Pontotoc
758	Mississippi	Scott
759	Mississippi	Tate
760	Indiana	Marion
761	Indiana	Hamilton
762	Indiana	Johnson
763	Indiana	Lake
764	Indiana	Hendricks
765	Indiana	St. Joseph
766	Indiana	Howard
767	Indiana	Bartholomew
768	Indiana	Franklin
769	Indiana	Clark
770	Indiana	Allen
771	Indiana	Elkhart
772	Indiana	Boone
773	Indiana	Floyd
774	Indiana	LaPorte
775	Indiana	Tippecanoe
776	Indiana	Madison
777	Indiana	Vigo
778	Indiana	Grant
779	Indiana	Delaware
780	Indiana	Hancock
781	Indiana	Noble
782	Indiana	Adams
783	Indiana	Wells
784	Indiana	Fayette
785	Indiana	Jennings
786	Indiana	Wayne
787	Indiana	Owen
788	Indiana	Vanderburgh
789	Indiana	Shelby
790	Indiana	Scott
791	Indiana	Greene
792	Indiana	Monroe
793	Indiana	Miami
794	Indiana	Tipton
795	Indiana	Putnam
796	Indiana	Morgan
797	Indiana	Ripley
798	Indiana	Washington
799	Indiana	Dubois
800	South Carolina	Kershaw
801	South Carolina	Richland
802	South Carolina	Greenville
803	South Carolina	Beaufort
804	South Carolina	Charleston
805	South Carolina	Lexington
806	South Carolina	Horry
807	South Carolina	Anderson
808	South Carolina	Lancaster
809	South Carolina	Darlington
810	South Carolina	York
811	South Carolina	Sumter
812	South Carolina	Orangeburg
813	South Carolina	Greenwood
814	South Carolina	Spartanburg
815	South Carolina	Berkeley
816	South Carolina	Fairfield
817	South Carolina	Calhoun
818	South Carolina	Dorchester
819	South Carolina	Lee
820	South Carolina	Abbeville
821	South Carolina	Saluda
822	South Carolina	Aiken
823	South Carolina	Clarendon
824	South Carolina	Florence
825	South Carolina	Pickens
826	South Carolina	Colleton
827	South Carolina	Dillon
828	South Carolina	Edgefield
829	South Carolina	Marlboro
830	South Carolina	Newberry
831	South Carolina	Hampton
832	South Carolina	Jasper
833	Nevada	Clark
835	Nevada	Washoe
836	Nevada	Carson City
837	Nevada	Elko County
838	Utah	Salt Lake
839	Utah	Summit
840	Utah	Davis
841	Utah	Wasatch
842	Utah	Utah
843	Utah	Tooele
844	Utah	Cache
845	Utah	Box Elder
846	Minnesota	Hennepin
847	Minnesota	Ramsey
848	Minnesota	Olmsted
849	Minnesota	Dakota
850	Minnesota	Martin
851	Minnesota	Carver
852	Minnesota	Washington
853	Minnesota	Mower
854	Minnesota	Anoka
855	Minnesota	Stearns
856	Minnesota	Blue Earth
857	Minnesota	Wright
858	Minnesota	Nicollet
859	Minnesota	Scott
860	Minnesota	Steele
861	Minnesota	Clay
862	Minnesota	Dodge
863	Minnesota	Renville
864	Minnesota	Waseca
865	Minnesota	Benton
866	Minnesota	Rice
867	Minnesota	Chisago
868	Minnesota	Wabasha
869	Minnesota	Jackson
870	Minnesota	St. Louis
871	Minnesota	Cass
872	Minnesota	LeSeur
874	Arkansas	Jefferson
875	Arkansas	Pulaski
876	Arkansas	Garland
877	Arkansas	Cleburne
878	Arkansas	Washington
879	Arkansas	Faulkner
880	Arkansas	Saline
881	Arkansas	Grant
882	Arkansas	Bradley
883	Arkansas	Clark
884	Arkansas	Craighead
885	Arkansas	Independence
886	Arkansas	Poinsett
887	Arkansas	Pope
888	Arkansas	Searcy
889	Arkansas	Sevier
890	Arkansas	Van Buren
891	Arkansas	Benton
892	Arkansas	Boone
893	Arkansas	Crittenden
894	Arkansas	Greene
895	Arkansas	Polk
896	Arkansas	Sebastian
897	Arkansas	Columbia
898	Arkansas	Conway
899	Arkansas	Union
900	Arkansas	Woodruff
901	Oregon	Washington
902	Oregon	Marion
903	Oregon	Multnomah
904	Oregon	Linn
905	Oregon	Clackamas
906	Oregon	Deschutes
907	Oregon	Yamhill
908	Oregon	Benton
909	Oregon	Lane
910	Oregon	Jackson
911	Oregon	Umatilla
912	Oregon	Klamath
913	Oregon	Douglas
914	Oregon	Polk
915	Oregon	Grant
916	Oregon	Union
917	Oregon	Josephine
918	Alabama	Jefferson
919	Alabama	Shelby
920	Alabama	Lee
921	Alabama	Madison
922	Alabama	Tuscaloosa
923	Alabama	Elmore
924	Alabama	Montgomery
925	Alabama	St. Clair
926	Alabama	Baldwin
927	Alabama	Chambers
928	Alabama	Mobile
929	Alabama	Lauderdale
930	Alabama	Cullman
931	Alabama	Limestone
932	Alabama	Calhoun
933	Alabama	Talladega
934	Alabama	Walker
935	Alabama	Jackson
936	Alabama	Lamar
937	Alabama	Washington
938	Alabama	Marion
939	Arizona	Maricopa
940	Arizona	Pima
941	Arizona	Pinal
942	Arizona	Coconino
943	Arizona	Navajo
944	Arizona	Yavapai
945	Arizona	Apache
946	Arizona	Graham
947	Arizona	Santa Cruz
948	Arizona	Yuma
949	Arizona	Cochise
951	Kentucky	Jefferson
952	Kentucky	Fayette
953	Kentucky	Harrison
954	Kentucky	Montgomery
955	Kentucky	Clark
956	Kentucky	Bourbon
957	Kentucky	Henderson
958	Kentucky	Warren
959	Kentucky	Pulaski
960	Kentucky	Nelson
961	Kentucky	Lyon
962	Kentucky	Kenton
963	Kentucky	Daviess
964	Kentucky	Anderson
965	Kentucky	Calloway
966	Kentucky	Christian
967	Kentucky	Franklin
968	Kentucky	Hardin
969	Kentucky	Oldham
970	Missouri	St. Louis
971	Missouri	Boone
972	Missouri	Greene
973	Missouri	St. Louis City
974	Missouri	Jackson
975	Missouri	Cass
976	Missouri	Cole
977	Missouri	St. Charles
978	Missouri	Christian
979	Missouri	Henry
980	Missouri	Scott
981	Missouri	Pulaski
982	Missouri	Dunklin
983	Missouri	Jasper
984	Missouri	Adair
985	Missouri	Johnson
986	Missouri	Bates
987	Iowa	Johnson
988	Iowa	Polk
989	Iowa	Dallas
990	Iowa	Allamakee
991	Iowa	Dubuque
992	Iowa	Linn
993	Iowa	Harrison
994	Iowa	Black Hawk
995	Iowa	Washington
996	Iowa	Tama
997	Iowa	Pottawattamie
998	Iowa	Muscatine
999	Iowa	Cerro Gordo
1000	Iowa	Carroll
1001	Iowa	Adair
1002	Iowa	Winneshiek
1003	Iowa	Fayette
1004	Iowa	Henry
1005	Iowa	Story
1006	Iowa	Scott
1007	Iowa	Woodbury
1008	Iowa	Kossuth
1009	Iowa	Sioux
1010	Iowa	Poweshiek
1011	Maine	Cumberland
1012	Maine	York
1014	Maine	Lincoln
1015	Maine	Oxford
1016	Maine	Kennebec
1017	Maine	Androscoggin
1018	Maine	Sagadahoc
1019	Maine	Penobscot
1020	Rhode Island	Providence
1021	Rhode Island	Bristol
1022	Rhode Island	Washington
1023	Rhode Island	Newport
1025	Rhode Island	Kent
1026	New Hampshire	Rockingham
1027	New Hampshire	Grafton
1028	New Hampshire	Hillsborough
1029	New Hampshire	Carroll
1030	New Hampshire	Merrimack
1031	New Hampshire	Strafford
1032	New Hampshire	Cheshire
1033	New Hampshire	Nashua
1034	New Hampshire	Sullivan
1035	Oklahoma	Oklahoma
1036	Oklahoma	Cleveland
1037	Oklahoma	Tulsa
1038	Oklahoma	Kay
1039	Oklahoma	Pawnee
1040	Oklahoma	Payne
1041	Oklahoma	Canadian
1042	Oklahoma	Washington
1043	Oklahoma	Garvin
1044	Oklahoma	Jackson
1045	Oklahoma	Custer
1046	Oklahoma	Grady
1047	Oklahoma	Logan
1048	Oklahoma	McClain
1049	Oklahoma	Muskogee
1050	Oklahoma	Noble
1051	Kansas	Johnson
1052	Kansas	Wyandotte
1053	Kansas	Douglas
1054	Kansas	Leavenworth
1055	Kansas	Butler
1056	Kansas	Linn
1057	Kansas	Morris
1058	Kansas	Sedgwick
1059	Kansas	Franklin
1060	Kansas	Cherokee
1061	Kansas	Jackson
1062	Kansas	Riley
1063	Kansas	Reno
1064	Kansas	Mitchell
1065	Kansas	Ford
1066	New Mexico	Bernalillo
1067	New Mexico	Santa Fe
1068	New Mexico	Sandoval
1069	New Mexico	Taos
1070	New Mexico	Socorro
1071	New Mexico	Dona Ana
1072	New Mexico	San Miguel
1073	New Mexico	McKinley
1074	New Mexico	Lea
1075	Hawaii	Honolulu
1076	Hawaii	Maui
1077	Hawaii	Kauai
1078	Delaware	New Castle
1079	Delaware	Sussex
1080	Delaware	Kent
1081	Vermont	Chittenden
1082	Vermont	Windsor
1083	Vermont	Windham
1084	Vermont	Bennington
1085	Vermont	Orange
1086	Vermont	Addison
1087	Vermont	Rutland
1088	Vermont	Washington
1089	Vermont	Franklin
1090	Nebraska	Douglas
1091	Nebraska	Sarpy
1092	Nebraska	Lincoln
1093	Nebraska	Knox
1094	Nebraska	Lancaster
1095	Nebraska	Buffalo
1096	Nebraska	Cass
1097	Nebraska	Adams
1098	Nebraska	Nemaha
1100	Idaho	Blaine
1101	Idaho	Ada
1102	Idaho	Kootenai
1103	Idaho	Teton
1104	Idaho	Bingham
1105	Idaho	Madison
1106	Idaho	Twin Falls
1107	Idaho	Canyon
1108	Montana	Gallatin
1109	Montana	Yellowstone
1110	Montana	Missoula
1111	Montana	Lewis and Clark
1112	Montana	Cascade
1113	Montana	Silver Bow
1114	Montana	Flathead
1116	Montana	Broadwater
1117	Montana	Roosevelt
1118	Montana	Madison
1119	Montana	Ravalli
1121	North Dakota	Burleigh
1122	North Dakota	Morton
1123	North Dakota	Ward
1124	North Dakota	Cass
1125	North Dakota	Ramsey
1126	North Dakota	Pierce
1128	Wyoming	Fremont
1129	Wyoming	Laramie
1130	Wyoming	Sheridan
1131	Wyoming	Teton
1132	Wyoming	Park
1133	Wyoming	Campbell
1134	Wyoming	Natrona
1135	Wyoming	Carbon
1137	South Dakota	Beadle
1138	South Dakota	Minnehaha
